SERVICE;PROTOCOL;DIR;SRC;SRCPORT;DEST;DESTPORT;STATE;AGE;EXP;PKTS;BYTES
HTTP;TCP;In;192.168.170.147;54834;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:16;00:00:14;6;264
HTTP;TCP;Out;201.65.78.233;22419;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:16;00:00:14;6;264
HTTP;TCP;In;192.168.195.133;48573;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:11;00:00:19;6;264
HTTP;TCP;Out;177.200.93.126;12600;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:11;00:00:19;6;264
HTTPS;TCP;In;192.168.88.35;44774;23.20.165.22;443;ESTABLISHED:ESTABLISHED;03:01:10;20:59:02;6;344
HTTPS;TCP;Out;177.200.93.126;35427;23.20.165.22;443;ESTABLISHED:ESTABLISHED;03:01:10;20:59:02;6;344
HTTP;TCP;In;192.168.196.15;46163;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:06;00:00:24;6;264
HTTP;TCP;Out;177.200.93.126;48473;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:06;00:00:24;6;264
HTTP;TCP;In;192.168.180.101;45641;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:04;00:00:26;6;264
HTTP;TCP;Out;177.200.93.126;62391;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:01:04;00:00:26;6;264
HTTP;TCP;In;192.168.196.36;50226;142.250.79.227;80;ESTABLISHED:ESTABLISHED;00:00:55;23:59:15;6;352
HTTP;TCP;Out;177.200.93.126;21790;142.250.79.227;80;ESTABLISHED:ESTABLISHED;00:00:55;23:59:15;6;352
HTTPS;TCP;In;192.168.160.35;54405;38.113.165.187;443;FIN_WAIT_2:FIN_WAIT_2;00:01:00;00:00:30;6;264
HTTPS;TCP;Out;201.65.78.233;23058;38.113.165.187;443;FIN_WAIT_2:FIN_WAIT_2;00:01:00;00:00:30;6;264
HTTP;TCP;In;192.168.195.109;48082;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:59;00:00:31;6;264
HTTP;TCP;Out;177.200.93.126;34577;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:59;00:00:31;6;264
HTTP;TCP;In;192.168.196.17;53904;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:58;00:00:33;6;264
HTTP;TCP;Out;177.200.93.126;62403;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:58;00:00:33;6;264
HTTP;TCP;In;192.168.88.35;38282;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:53;00:00:38;6;264
HTTP;TCP;Out;177.200.93.126;21951;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:53;00:00:38;6;264
DNS;UDP;In;192.168.160.12;62768;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:45;00:00:32;6;520
DNS;UDP;Out;201.65.78.233;6816;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:45;00:00:32;6;520
SNMP;UDP;In;10.100.22.25;49446;192.168.235.170;161;NO_TRAFFIC:SINGLE;00:00:44;00:00:07;6;630
SNMP;UDP;Out;201.65.78.233;25532;192.168.235.170;161;SINGLE:NO_TRAFFIC;00:00:44;00:00:07;6;630
HTTP;TCP;In;192.168.195.126;41066;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:44;00:00:46;6;264
HTTP;TCP;Out;177.200.93.126;36133;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:44;00:00:46;6;264
DNS;UDP;In;192.168.160.12;62473;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:50;00:00:14;6;524
DNS;UDP;Out;201.65.78.233;56249;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:50;00:00:14;6;524
HTTP;TCP;In;192.168.88.35;48548;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:09;00:01:21;6;264
HTTP;TCP;Out;177.200.93.126;22472;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:09;00:01:21;6;264
HTTP;TCP;In;192.168.188.189;60375;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:41;00:00:49;6;264
HTTP;TCP;Out;177.200.93.126;18256;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:41;00:00:49;6;264
HTTP;TCP;In;192.168.170.254;35997;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:52;6;264
HTTP;TCP;Out;177.200.93.126;54061;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:52;6;264
HTTP;TCP;In;192.168.88.35;47288;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:53;6;264
HTTP;TCP;Out;177.200.93.126;50666;142.250.218.67;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:53;6;264
SNMP;UDP;In;192.168.188.189;55941;192.168.230.71;161;NO_TRAFFIC:SINGLE;00:00:44;00:00:07;6;636
SNMP;UDP;Out;201.65.78.233;47805;192.168.230.71;161;SINGLE:NO_TRAFFIC;00:00:44;00:00:07;6;636
DNS;UDP;In;192.168.160.12;62388;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:35;00:00:27;6;672
DNS;UDP;Out;201.65.78.233;33014;8.8.8.8;53;MULTIPLE:MULTIPLE;00:00:35;00:00:27;6;672
HTTP;TCP;In;192.168.198.25;35556;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:43;00:00:47;6;264
HTTP;TCP;Out;177.200.93.126;3012;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:43;00:00:47;6;264
HTTP;TCP;In;10.100.22.29;52902;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:42;00:00:48;6;264
HTTP;TCP;Out;177.200.93.126;21338;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:42;00:00:48;6;264
HTTPS;TCP;In;192.168.193.149;54807;54.201.241.207;443;TIME_WAIT:TIME_WAIT;00:00:34;00:00:57;6;474
HTTPS;TCP;Out;201.65.78.233;62331;54.201.241.207;443;TIME_WAIT:TIME_WAIT;00:00:34;00:00:57;6;474
HTTPS;TCP;In;192.168.193.149;54811;52.25.11.106;443;TIME_WAIT:TIME_WAIT;00:00:32;00:00:58;6;461
HTTPS;TCP;Out;201.65.78.233;50564;52.25.11.106;443;TIME_WAIT:TIME_WAIT;00:00:32;00:00:58;6;461
HTTP;TCP;In;192.168.196.35;50215;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:53;6;264
HTTP;TCP;Out;177.200.93.126;60851;142.250.79.3;80;FIN_WAIT_2:FIN_WAIT_2;00:00:38;00:00:53;6;264
HTTPS;TCP;In;192.168.193.149;54813;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:31;00:00:59;6;471
HTTPS;TCP;Out;201.65.78.233;1095;52.34.30.2;443;TIME_WAIT:TIME_WAIT;00:00:31;00:00:59;6;471
HTTP;TCP;In;192.168.88.35;38283;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:37;00:00:53;6;264
HTTP;TCP;Out;177.200.93.126;2163;142.250.219.35;80;FIN_WAIT_2:FIN_WAIT_2;00:00:37;00:00:53;6;264
SNMP;UDP;In;192.168.170.139;55016;192.168.230.241;161;NO_TRAFFIC:SINGLE;00:00:30;00:00:20;6;642
